# 1: 1 => 1 in 21.435µs ~ 683.214µs | total cached: 2 (found solution)
time '21.435µs + 683.214µs = 704.649µs': n = 2, i = 0, comparisons: 1
# 10: 1 => 1 in 11.814µs ~ 12.500µs | total cached: 183 (found solution)
time '42.245ms + 29.124ms = 71.369ms': n = 7, i = 2, comparisons: 10
# 1: 1 => 25 in 1.910ms ~ 273.610µs | total cached: 2
# 2: 1 => 70 in 4.476ms ~ 950.762µs | total cached: 5
# 3: 3 => 223 in 8.219ms ~ 2.650ms | total cached: 18
# 4: 13 => 503 in 12.188ms ~ 8.016ms | total cached: 69
# 5: 51 => 554 in 9.363ms ~ 9.685ms | total cached: 157
# 6: 88 => 403 in 5.769ms ~ 4.500ms | total cached: 227
# 7: 70 => 182 in 2.071ms ~ 1.912ms | total cached: 261
# 8: 34 => 67 in 556.384µs ~ 687.363µs | total cached: 270
# 9: 9 => 14 in 230.183µs ~ 198.026µs | total cached: 273
# 10: 3 => 3 in 20.612µs ~ 63.735µs | total cached: 274 (found solution)
time '44.803ms + 28.935ms = 73.739ms': n = 7, i = 3, comparisons: 10

# 1: 1 => 2045 in 12.571ms ~ 32.686ms | total cached: 2
# 2: 1 => 6258 in 31.162ms ~ 97.198ms | total cached: 3
# 3: 1 => 5828 in 37.173ms ~ 94.897ms | total cached: 4
# 4: 1 => 2319 in 26.557ms ~ 41.626ms | total cached: 5
# 5: 1 => 477 in 10.563ms ~ 9.115ms | total cached: 6
# 6: 1 => 64 in 3.146ms ~ 1.104ms | total cached: 7
# 7: 1 => 7 in 709.941µs ~ 158.407µs | total cached: 8 (found solution)
time '121.881ms + 276.784ms = 398.665ms': n = 8, i = 0, comparisons: 7
# 1: 1 => 318 in 67.771ms ~ 4.068ms | total cached: 2
# 2: 1 => 1132 in 86.423ms ~ 18.727ms | total cached: 5
# 3: 3 => 3174 in 59.307ms ~ 72.089ms | total cached: 11
# 4: 6 => 5888 in 43.425ms ~ 102.802ms | total cached: 22
# 5: 11 => 4021 in 30.989ms ~ 67.584ms | total cached: 38
# 6: 16 => 1865 in 16.851ms ~ 34.334ms | total cached: 52
# 7: 14 => 524 in 9.013ms ~ 9.682ms | total cached: 60
# 8: 8 => 68 in 2.558ms ~ 1.131ms | total cached: 63
# 9: 3 => 8 in 634.695µs ~ 152.004µs | total cached: 64 (found solution)
time '316.972ms + 310.568ms = 627.540ms': n = 8, i = 1, comparisons: 9
# 1: 1 => 126 in 25.508ms ~ 1.465ms | total cached: 2
# 2: 1 => 394 in 56.843ms ~ 6.017ms | total cached: 5
# 3: 3 => 1475 in 95.874ms ~ 33.627ms | total cached: 20
# 4: 15 => 3766 in 135.516ms ~ 81.495ms | total cached: 73
# 5: 53 => 4702 in 84.513ms ~ 90.285ms | total cached: 196
# 6: 123 => 3788 in 46.330ms ~ 68.785ms | total cached: 338
# 7: 142 => 1928 in 21.545ms ~ 39.651ms | total cached: 426
# 8: 88 => 679 in 8.568ms ~ 12.801ms | total cached: 455
# 9: 29 => 114 in 2.419ms ~ 2.033ms | total cached: 463
# 10: 8 => 19 in 444.145µs ~ 356.632µs | total cached: 466
# 11: 3 => 7 in 610.332µs ~ 137.646µs | total cached: 467 (found solution)
time '478.170ms + 336.653ms = 814.824ms': n = 8, i = 2, comparisons: 11
# 1: 1 => 80 in 24.102ms ~ 850.953µs | total cached: 2
# 2: 1 => 247 in 58.777ms ~ 3.637ms | total cached: 5
# 3: 3 => 998 in 148.314ms ~ 25.779ms | total cached: 22
# 4: 17 => 2829 in 298.555ms ~ 83.023ms | total cached: 129
# 5: 107 => 4298 in 302.950ms ~ 85.727ms | total cached: 464
# 6: 335 => 4287 in 225.788ms ~ 89.950ms | total cached: 924
# 7: 460 => 2714 in 115.977ms ~ 53.242ms | total cached: 1246
# 8: 322 => 1188 in 46.249ms ~ 25.959ms | total cached: 1365
# 9: 119 => 271 in 12.872ms ~ 6.254ms | total cached: 1402
# 10: 37 => 68 in 2.495ms ~ 1.442ms | total cached: 1412
# 11: 10 => 15 in 1.096ms ~ 272.682µs | total cached: 1415
# 12: 3 => 3 in 63.029µs ~ 85.833µs | total cached: 1416 (found solution)
time '1.237s + 376.223ms = 1.613s': n = 8, i = 3, comparisons: 12

# 1: 1 => 16999 in 148.584ms ~ 410.017ms | total cached: 2
# 2: 1 => 60877 in 392.828ms ~ 1.354s | total cached: 3
# 3: 1 => 66612 in 510.732ms ~ 1.659s | total cached: 4
# 4: 1 => 30698 in 373.345ms ~ 909.256ms | total cached: 5
# 5: 1 => 7015 in 167.829ms ~ 254.211ms | total cached: 6
# 6: 1 => 931 in 49.097ms ~ 33.587ms | total cached: 7
# 7: 1 => 90 in 10.149ms ~ 2.458ms | total cached: 8
# 8: 1 => 8 in 1.658ms ~ 209.110µs | total cached: 9 (found solution)
time '1.654s + 4.622s = 6.277s': n = 9, i = 0, comparisons: 8
# 1: 1 => 2045 in 953.196ms ~ 39.388ms | total cached: 2
# 2: 1 => 8303 in 1.367s ~ 195.612ms | total cached: 5
# 3: 3 => 26930 in 998.359ms ~ 620.121ms | total cached: 11
# 4: 6 => 58140 in 646.263ms ~ 1.461s | total cached: 22
# 5: 11 => 50523 in 463.047ms ~ 1.367s | total cached: 41
# 6: 19 => 28229 in 314.263ms ~ 901.961ms | total cached: 63
# 7: 22 => 7901 in 168.981ms ~ 278.000ms | total cached: 79
# 8: 16 => 1033 in 48.419ms ~ 34.845ms | total cached: 89
# 9: 10 => 116 in 10.675ms ~ 2.688ms | total cached: 92
# 10: 3 => 9 in 1.733ms ~ 186.766µs | total cached: 93
# 11: 1 => 1 in 9.867µs ~ 18.538µs | total cached: 94 (found solution)
time '4.972s + 4.901s = 9.873s': n = 9, i = 1, comparisons: 11
# 1: 1 => 636 in 297.633ms ~ 10.364ms | total cached: 2
# 2: 1 => 2264 in 738.528ms ~ 59.970ms | total cached: 5
# 3: 3 => 9871 in 1.447s ~ 253.916ms | total cached: 20
# 4: 15 => 30327 in 2.294s ~ 780.868ms | total cached: 79
# 5: 59 => 47393 in 1.636s ~ 1.315s | total cached: 271
# 6: 192 => 47456 in 933.196ms ~ 1.389s | total cached: 619
# 7: 348 => 30551 in 447.492ms ~ 1.041s | total cached: 937
# 8: 318 => 12021 in 202.184ms ~ 444.850ms | total cached: 1100
# 9: 163 => 2208 in 58.752ms ~ 80.687ms | total cached: 1150
# 10: 50 => 399 in 13.015ms ~ 13.333ms | total cached: 1166
# 11: 16 => 95 in 8.467ms ~ 2.648ms | total cached: 1170
# 12: 4 => 9 in 1.637ms ~ 205.011µs | total cached: 1171 (found solution)
time '8.078s + 5.392s = 13.470s': n = 9, i = 2, comparisons: 12
# 1: 1 => 315 in 135.149ms ~ 4.577ms | total cached: 2
# 2: 1 => 1111 in 379.622ms ~ 28.709ms | total cached: 5
# 3: 3 => 5414 in 1.050s ~ 150.195ms | total cached: 22
# 4: 17 => 18807 in 2.410s ~ 502.111ms | total cached: 173
# 5: 151 => 37113 in 2.829s ~ 1.079s | total cached: 943
# 6: 770 => 48413 in 2.336s ~ 1.502s | total cached: 2762
# 7: 1819 => 41371 in 1.334s ~ 1.344s | total cached: 4815
# 8: 2053 => 22250 in 592.604ms ~ 761.244ms | total cached: 5988
# 9: 1173 => 6371 in 159.235ms ~ 231.064ms | total cached: 6397
# 10: 409 => 1657 in 42.195ms ~ 59.676ms | total cached: 6509
# 11: 112 => 326 in 13.796ms ~ 9.614ms | total cached: 6541
# 12: 32 => 71 in 2.768ms ~ 1.522ms | total cached: 6547
# 13: 6 => 10 in 1.059ms ~ 193.523µs | total cached: 6548
# 14: 1 => 1 in 25.012µs ~ 16.361µs | total cached: 6549 (found solution)
time '11.286s + 5.675s = 16.961s': n = 9, i = 3, comparisons: 14
# 1: 1 => 256 in 83.873ms ~ 3.863ms | total cached: 2
# 2: 1 => 864 in 249.637ms ~ 24.378ms | total cached: 5
# 3: 3 => 4437 in 737.356ms ~ 135.430ms | total cached: 22
# 4: 17 => 15912 in 1.995s ~ 433.447ms | total cached: 176
# 5: 154 => 33584 in 2.857s ~ 984.968ms | total cached: 1156
# 6: 980 => 47280 in 2.967s ~ 1.527s | total cached: 3923
# 7: 2767 => 43814 in 2.031s ~ 1.419s | total cached: 7450
# 8: 3527 => 25829 in 1.059s ~ 876.611ms | total cached: 9661
# 9: 2211 => 8340 in 317.604ms ~ 291.619ms | total cached: 10448
# 10: 787 => 2304 in 87.116ms ~ 76.592ms | total cached: 10659
# 11: 211 => 475 in 23.837ms ~ 15.354ms | total cached: 10718
# 12: 59 => 114 in 3.543ms ~ 2.550ms | total cached: 10729
# 13: 11 => 18 in 1.076ms ~ 314.910µs | total cached: 10732
# 14: 3 => 3 in 28.405µs ~ 62.852µs | total cached: 10733 (found solution)
time '12.413s + 5.791s = 18.204s': n = 9, i = 4, comparisons: 14

# 1: 1 => 183231 in 1.719s ~ 6.579s | total cached: 2
# 2: 1 => 755323 in 5.418s ~ 25.477s | total cached: 3
# 3: 1 => 959941 in 8.482s ~ 36.786s | total cached: 4
# 4: 1 => 514525 in 6.856s ~ 23.919s | total cached: 5
# 5: 1 => 133610 in 3.718s ~ 8.112s | total cached: 6
# 6: 1 => 18836 in 1.190s ~ 1.409s | total cached: 7
# 7: 1 => 1686 in 254.037ms ~ 120.554ms | total cached: 8
# 8: 1 => 122 in 35.798ms ~ 5.320ms | total cached: 9
# 9: 1 => 9 in 4.252ms ~ 261.417µs | total cached: 10 (found solution)
time '27.678s + 102.408s = 130.085s': n = 10, i = 0, comparisons: 9
# 1: 1 => 16999 in 18.469s ~ 472.666ms | total cached: 2
# 2: 1 => 77876 in 28.620s ~ 2.395s | total cached: 5
# 3: 3 => 287478 in 22.769s ~ 10.754s | total cached: 11
# 4: 6 => 713207 in 13.104s ~ 28.017s | total cached: 22
# 5: 11 => 774723 in 8.886s ~ 32.860s | total cached: 43
# 6: 21 => 517821 in 6.764s ~ 27.499s | total cached: 73
# 7: 30 => 154472 in 3.848s ~ 9.874s | total cached: 100
# 8: 27 => 22099 in 1.204s ~ 1.601s | total cached: 119
# 9: 19 => 2411 in 269.013ms ~ 147.721ms | total cached: 130
# 10: 11 => 165 in 39.489ms ~ 8.340ms | total cached: 133
# 11: 3 => 23 in 6.301ms ~ 849.901µs | total cached: 135
# 12: 2 => 9 in 4.419ms ~ 267.614µs | total cached: 136 (found solution)
time '103.982s + 113.629s = 217.612s': n = 10, i = 1, comparisons: 12
# 1: 1 => 4090 in 4.422s ~ 98.223ms | total cached: 2
# 2: 1 => 16606 in 11.926s ~ 464.095ms | total cached: 5
# 3: 3 => 82474 in 27.205s ~ 2.703s | total cached: 20
# 4: 15 => 299782 in 48.398s ~ 12.151s | total cached: 81
# 5: 61 => 573668 in 39.765s ~ 24.141s | total cached: 327
# 6: 246 => 703831 in 23.745s ~ 33.691s | total cached: 981
# 7: 654 => 561949 in 11.219s ~ 33.580s | total cached: 1874
# 8: 893 => 255891 in 5.256s ~ 17.668s | total cached: 2515
# 9: 641 => 56236 in 1.805s ~ 4.475s | total cached: 2790
# 10: 275 => 10684 in 463.531ms ~ 901.682ms | total cached: 2877
# 11: 87 => 1901 in 208.378ms ~ 143.012ms | total cached: 2900
# 12: 23 => 156 in 32.096ms ~ 6.627ms | total cached: 2907
# 13: 7 => 13 in 3.922ms ~ 322.058µs | total cached: 2909
# 14: 2 => 2 in 22.003µs ~ 36.929µs | total cached: 2910 (found solution)
time '174.447s + 130.022s = 304.469s': n = 10, i = 2, comparisons: 14
# 1: 1 => 1590 in 1.540s ~ 34.442ms | total cached: 2
# 2: 1 => 6296 in 4.769s ~ 195.595ms | total cached: 5
# 3: 3 => 36146 in 15.652s ~ 1.164s | total cached: 22
# 4: 17 => 151074 in 39.892s ~ 5.706s | total cached: 200
# 5: 178 => 373210 in 57.291s ~ 18.522s | total cached: 1494
